54.6,3.476e-7,7.715e-7,0.0000013,0.000001977,0.000002876,0.000004126,0.000005984,0.000009037,0.00001498,0.00003162
54.7,3.812e-7,8.461e-7,0.000001426,0.000002168,0.000003154,0.000004525,0.000006563,0.000009912,0.00001643,0.00003468
54.8,4.18e-7,9.277e-7,0.000001563,0.000002377,0.000003458,0.000004961,0.000007196,0.00001087,0.00001801,0.00003802
54.9,4.581e-7,0.000001017,0.000001713,0.000002605,0.00000379,0.000005437,0.000007887,0.00001191,0.00001974,0.00004167
55,5.019e-7,0.000001114,0.000001877,0.000002855,0.000004152,0.000005958,0.000008641,0.00001305,0.00002163,0.00004566
55.1,5.498e-7,0.00000122,0.000002056,0.000003127,0.000004548,0.000006526,0.000009465,0.00001429,0.0000237,0.00005001
55.2,6.021e-7,0.000001336,0.000002252,0.000003424,0.000004981,0.000007146,0.00001036,0.00001565,0.00002595,0.00005476
55.3,6.591e-7,0.000001463,0.000002465,0.000003748,0.000005452,0.000007823,0.00001135,0.00001713,0.00002841,0.00005994
55.4,7.213e-7,0.000001601,0.000002697,0.000004102,0.000005967,0.000008561,0.00001242,0.00001875,0.00003109,0.00006559
55.5,7.891e-7,0.000001751,0.000002951,0.000004488,0.000006528,0.000009366,0.00001358,0.00002051,0.00003401,0.00007175
55.6,8.631e-7,0.000001916,0.000003228,0.000004909,0.00000714,0.00001024,0.00001486,0.00002244,0.00003719,0.00007847
55.7,9.437e-7,0.000002094,0.000003529,0.000005367,0.000007806,0.0000112,0.00001625,0.00002453,0.00004067,0.00008579
55.8,0.000001031,0.000002289,0.000003857,0.000005866,0.000008533,0.00001224,0.00001776,0.00002682,0.00004445,0.00009377
55.9,0.000001127,0.000002502,0.000004215,0.000006411,0.000009324,0.00001338,0.0000194,0.0000293,0.00004857,0.0001025
56,0.000001231,0.000002733,0.000004605,0.000007003,0.00001019,0.00001461,0.0000212,0.00003201,0.00005306,0.0001119
56.1,0.000001345,0.000002985,0.000005029,0.000007648,0.00001112,0.00001596,0.00002315,0.00003496,0.00005794,0.0001222
56.2,0.000001468,0.000003259,0.000005491,0.00000835,0.00001215,0.00001743,0.00002527,0.00003817,0.00006326,0.0001334
56.3,0.000001602,0.000003557,0.000005993,0.000009114,0.00001326,0.00001902,0.00002759,0.00004166,0.00006905,0.0001456
56.4,0.000001749,0.000003881,0.000006539,0.000009945,0.00001446,0.00002075,0.0000301,0.00004545,0.00007534,0.0001588
56.5,0.000001907,0.000004234,0.000007133,0.00001085,0.00001578,0.00002264,0.00003284,0.00004958,0.00008218,0.0001732
56.6,0.00000208,0.000004617,0.000007779,0.00001183,0.00001721,0.00002469,0.00003581,0.00005407,0.00008962,0.0001889
56.7,0.000002268,0.000005033,0.000008481,0.0000129,0.00001876,0.00002692,0.00003904,0.00005895,0.0000977,0.0002059
56.8,0.000002472,0.000005486,0.000009244,0.00001406,0.00002045,0.00002934,0.00004255,0.00006425,0.0001065,0.0002244
56.9,0.000002693,0.000005978,0.00001007,0.00001532,0.00002228,0.00003197,0.00004636,0.00007,0.000116,0.0002444
57,0.000002934,0.000006512,0.00001097,0.00001669,0.00002427,0.00003482,0.0000505,0.00007626,0.0001264,0.0002662
57.1,0.000003195,0.000007091,0.00001195,0.00001817,0.00002643,0.00003792,0.000055,0.00008304,0.0001376,0.0002898
57.2,0.000003479,0.000007721,0.00001301,0.00001978,0.00002877,0.00004128,0.00005987,0.00009041,0.0001498,0.0003154
57.3,0.000003786,0.000008403,0.00001416,0.00002153,0.00003132,0.00004493,0.00006517,0.0000984,0.000163,0.0003432
57.4,0.00000412,0.000009144,0.00001541,0.00002343,0.00003408,0.00004889,0.00007091,0.0001071,0.0001774,0.0003733
57.5,0.000004482,0.000009947,0.00001676,0.00002549,0.00003707,0.00005319,0.00007713,0.0001165,0.0001929,0.000406
57.6,0.000004874,0.00001082,0.00001823,0.00002772,0.00004032,0.00005784,0.00008388,0.0001266,0.0002098,0.0004413
57.7,0.000005299,0.00001176,0.00001982,0.00003014,0.00004383,0.00006289,0.0000912,0.0001377,0.0002281,0.0004796
57.8,0.00000576,0.00001278,0.00002154,0.00003276,0.00004764,0.00006835,0.00009913,0.0001497,0.0002479,0.000521
57.9,0.000006259,0.00001389,0.00002341,0.0000356,0.00005177,0.00007427,0.0001077,0.0001626,0.0002693,0.0005659
58,0.0000068,0.00001509,0.00002543,0.00003867,0.00005624,0.00008069,0.000117,0.0001766,0.0002925,0.0006144
58.1,0.000007385,0.00001639,0.00002762,0.000042,0.00006108,0.00008763,0.0001271,0.0001918,0.0003177,0.0006669
